TRAIN_CORPUS=./input/wsj-02-21clean.mrg
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
0 sentences were reranked out of 0

PROBABILITY_MODEL=EPISODIC_LEFTCORNER_MODEL
INCLUDE_DISCONTIGUITIES=false
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=false
LAMBDA_1=0.1; LAMBDA_2=0.1; LAMBDA_3=0.1
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=true
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

Test sent.;length;depth;#cstit;ch;#mcst;#cst;h1;#cand;#mcst;#cst;h2;#cand;#mcst;#cst;h3;#cand;#mcst;#cst;h4;#cand;#mcst;#cst;h5;#cand;#mcst;#cst;h6;#cand;#mcst;#cst;h7;#cand;#mcst;#cst;h8;#cand;#mcst;#cst;h9;#cand;#mcst;#cst;h10;#cand;#mcst;#cst;h11;#cand;#mcst;#cst;h12;#cand;#mcst;#cst;h13;#cand;#mcst;#cst;h14;#cand;#mcst;#cst;ran;#cand;#mcst;#cst
45;20;13;14;ch;14;14;0;2;14;14;1;2;14;14;2;2;14;14;3;0;14;14;4;0;14;14;5;0;14;14;6;0;14;14;7;0;14;14;8;0;14;14;9;0;14;14;10;0;14;14;11;1;13;15;12;0;14;14;13;0;14;14;14;0;14;14;ran;4;13;15
46;32;9;16;ch;14;19;0;3;14;16;1;3;14;16;2;3;14;16;3;3;14;16;4;3;14;16;5;3;14;16;6;3;14;16;7;3;14;16;8;3;14;16;9;3;14;16;10;3;14;16;11;3;14;16;12;3;14;16;13;3;14;16;14;3;14;16;ran;4;14;19
47;29;14;18;ch;18;18;0;3;17;17;1;3;17;17;2;3;17;17;3;3;17;17;4;3;17;17;5;0;18;18;6;0;18;18;7;1;18;19;8;1;18;19;9;1;18;19;10;1;18;19;11;1;18;19;12;1;18;19;13;1;18;19;14;1;18;19;ran;2;17;18
48;19;17;14;ch;14;14;0;3;13;13;1;3;13;13;2;3;13;13;3;3;13;13;4;3;13;13;5;3;13;13;6;3;13;13;7;3;13;13;8;3;13;13;9;3;13;13;10;3;13;13;11;3;13;13;12;3;13;13;13;3;13;13;14;3;13;13;ran;2;13;13
49;13;10;9;ch;9;9;0;0;9;9;1;0;9;9;2;0;9;9;3;0;9;9;4;0;9;9;5;0;9;9;6;0;9;9;7;3;9;10;8;3;9;10;9;3;9;10;10;3;9;10;11;0;9;9;12;0;9;9;13;0;9;9;14;0;9;9;ran;0;9;9
50;11;8;7;ch;6;6;0;0;6;6;1;0;6;6;2;0;6;6;3;0;6;6;4;0;6;6;5;0;6;6;6;0;6;6;7;0;6;6;8;0;6;6;9;0;6;6;10;0;6;6;11;0;6;6;12;0;6;6;13;0;6;6;14;0;6;6;ran;1;6;6
51;21;12;14;ch;14;15;0;2;13;13;1;1;10;14;2;1;10;14;3;1;10;14;4;1;10;14;5;1;10;14;6;1;10;14;7;1;10;14;8;1;10;14;9;1;10;14;10;1;10;14;11;1;10;14;12;1;10;14;13;1;10;14;14;1;10;14;ran;3;14;15
53;18;8;8;ch;7;8;0;4;7;8;1;0;7;8;2;0;7;8;3;0;7;8;4;0;7;8;5;0;7;8;6;0;7;8;7;0;7;8;8;2;7;8;9;2;7;8;10;2;7;8;11;2;7;8;12;2;7;8;13;2;7;8;14;2;7;8;ran;0;7;8
54;11;8;5;ch;5;5;0;3;5;5;1;1;5;5;2;1;5;5;3;1;5;5;4;1;5;5;5;1;5;5;6;1;5;5;7;1;5;5;8;1;5;5;9;1;5;5;10;1;5;5;11;1;5;5;12;1;5;5;13;1;5;5;14;1;5;5;ran;4;4;5
55;23;10;14;ch;9;13;0;0;9;13;1;4;9;13;2;2;12;13;3;2;12;13;4;4;9;13;5;4;9;13;6;4;9;13;7;4;9;13;8;4;9;13;9;4;9;13;10;4;9;13;11;4;9;13;12;4;9;13;13;4;9;13;14;4;9;13;ran;1;9;14
56;23;9;14;ch;10;14;0;2;10;14;1;2;10;14;2;2;10;14;3;2;10;14;4;2;10;14;5;2;10;14;6;2;10;14;7;2;10;14;8;2;10;14;9;2;10;14;10;2;10;14;11;2;10;14;12;2;10;14;13;2;10;14;14;2;10;14;ran;2;10;14
57;33;20;22;ch;19;24;0;3;13;23;1;3;13;23;2;3;13;23;3;3;13;23;4;3;13;23;5;3;13;23;6;3;13;23;7;3;13;23;8;3;13;23;9;1;19;24;10;1;19;24;11;1;19;24;12;1;19;24;13;1;19;24;14;1;19;24;ran;0;19;24
58;28;14;16;ch;12;15;0;3;12;15;1;0;12;15;2;3;12;15;3;3;12;15;4;3;12;15;5;3;12;15;6;3;12;15;7;3;12;15;8;3;12;15;9;3;12;15;10;3;12;15;11;3;12;15;12;3;12;15;13;3;12;15;14;3;12;15;ran;4;11;15
59;22;9;14;ch;13;15;0;1;12;14;1;2;13;15;2;2;13;15;3;2;13;15;4;2;13;15;5;2;13;15;6;2;13;15;7;2;13;15;8;2;13;15;9;2;13;15;10;2;13;15;11;2;13;15;12;2;13;15;13;2;13;15;14;0;13;15;ran;0;13;15
60;14;12;9;ch;8;10;0;2;9;10;1;2;9;10;2;2;9;10;3;2;9;10;4;2;9;10;5;2;9;10;6;2;9;10;7;2;9;10;8;2;9;10;9;2;9;10;10;2;9;10;11;2;9;10;12;2;9;10;13;2;9;10;14;2;9;10;ran;2;9;10
61;27;11;17;ch;17;17;0;0;17;17;1;0;17;17;2;0;17;17;3;0;17;17;4;0;17;17;5;0;17;17;6;0;17;17;7;0;17;17;8;0;17;17;9;0;17;17;10;0;17;17;11;0;17;17;12;1;17;17;13;1;17;17;14;1;17;17;ran;1;17;17
62;24;12;16;ch;13;16;0;1;14;16;1;3;16;16;2;3;16;16;3;3;16;16;4;3;16;16;5;3;16;16;6;3;16;16;7;3;16;16;8;3;16;16;9;3;16;16;10;3;16;16;11;2;14;17;12;2;14;17;13;3;16;16;14;3;16;16;ran;2;14;17
63;15;10;11;ch;8;11;0;0;8;11;1;0;8;11;2;0;8;11;3;0;8;11;4;0;8;11;5;0;8;11;6;0;8;11;7;0;8;11;8;0;8;11;9;0;8;11;10;0;8;11;11;0;8;11;12;0;8;11;13;0;8;11;14;0;8;11;ran;4;8;11
64;24;11;15;ch;12;14;0;0;12;14;1;2;14;15;2;2;14;15;3;2;14;15;4;2;14;15;5;2;14;15;6;2;14;15;7;2;14;15;8;2;14;15;9;2;14;15;10;2;14;15;11;2;14;15;12;2;14;15;13;2;14;15;14;2;14;15;ran;2;14;15
65;17;14;13;ch;12;14;0;1;12;13;1;1;12;13;2;1;12;13;3;1;12;13;4;1;12;13;5;1;12;13;6;1;12;13;7;1;12;13;8;1;12;13;9;1;12;13;10;1;12;13;11;1;12;13;12;1;12;13;13;1;12;13;14;1;12;13;ran;1;12;13
66;4;3;1;ch;1;1;0;1;1;1;1;1;1;1;2;1;1;1;3;1;1;1;4;1;1;1;5;1;1;1;6;1;1;1;7;1;1;1;8;1;1;1;9;1;1;1;10;1;1;1;11;1;1;1;12;1;1;1;13;1;1;1;14;1;1;1;ran;2;1;2
67;3;3;1;ch;1;1;0;0;1;1;1;0;1;1;2;0;1;1;3;0;1;1;4;0;1;1;5;0;1;1;6;0;1;1;7;0;1;1;8;0;1;1;9;0;1;1;10;0;1;1;11;0;1;1;12;0;1;1;13;0;1;1;14;0;1;1;ran;3;1;2
68;31;12;19;ch;19;21;0;4;16;20;1;4;16;20;2;4;16;20;3;4;16;20;4;4;16;20;5;4;16;20;6;4;16;20;7;4;16;20;8;2;16;21;9;2;16;21;10;2;16;21;11;2;16;21;12;2;16;21;13;2;16;21;14;4;16;20;ran;4;16;20
69;5;5;2;ch;2;2;0;0;2;2;1;0;2;2;2;0;2;2;3;0;2;2;4;0;2;2;5;0;2;2;6;0;2;2;7;0;2;2;8;0;2;2;9;0;2;2;10;0;2;2;11;0;2;2;12;0;2;2;13;0;2;2;14;0;2;2;ran;1;2;2
70;20;9;12;ch;12;12;0;3;11;11;1;3;11;11;2;3;11;11;3;3;11;11;4;0;12;12;5;0;12;12;6;0;12;12;7;0;12;12;8;0;12;12;9;0;12;12;10;0;12;12;11;0;12;12;12;0;12;12;13;0;12;12;14;0;12;12;ran;1;12;12
71;18;8;10;ch;10;12;0;1;10;10;1;2;10;12;2;2;10;12;3;2;10;12;4;2;10;12;5;2;10;12;6;2;10;12;7;2;10;12;8;2;10;12;9;2;10;12;10;2;10;12;11;2;10;12;12;2;10;12;13;2;10;12;14;2;10;12;ran;0;10;12
72;31;11;16;ch;16;16;0;1;15;15;1;1;15;15;2;1;15;15;3;1;15;15;4;1;15;15;5;1;15;15;6;1;15;15;7;1;15;15;8;1;15;15;9;1;15;15;10;1;15;15;11;1;15;15;12;1;15;15;13;1;15;15;14;1;15;15;ran;0;16;16
73;12;8;7;ch;7;9;0;2;7;7;1;2;7;7;2;2;7;7;3;2;7;7;4;2;7;7;5;2;7;7;6;2;7;7;7;2;7;7;8;2;7;7;9;2;7;7;10;2;7;7;11;2;7;7;12;2;7;7;13;2;7;7;14;2;7;7;ran;1;7;9
74;3;3;1;ch;1;1;0;0;1;1;1;0;1;1;2;0;1;1;3;0;1;1;4;0;1;1;5;0;1;1;6;0;1;1;7;0;1;1;8;0;1;1;9;0;1;1;10;0;1;1;11;0;1;1;12;0;1;1;13;0;1;1;14;0;1;1;ran;2;1;2
75;31;14;17;ch;17;17;0;0;17;17;1;0;17;17;2;0;17;17;3;0;17;17;4;0;17;17;5;0;17;17;6;0;17;17;7;0;17;17;8;0;17;17;9;0;17;17;10;0;17;17;11;0;17;17;12;0;17;17;13;0;17;17;14;0;17;17;ran;1;17;17
76;27;8;16;ch;14;15;0;3;15;15;1;3;15;15;2;3;15;15;3;3;15;15;4;3;15;15;5;3;15;15;6;3;15;15;7;3;15;15;8;3;15;15;9;3;15;15;10;3;15;15;11;3;15;15;12;3;15;15;13;3;15;15;14;3;15;15;ran;2;13;14
77;19;10;15;ch;15;15;0;4;12;14;1;4;12;14;2;4;12;14;3;3;9;15;4;4;12;14;5;4;12;14;6;4;12;14;7;4;12;14;8;4;12;14;9;4;12;14;10;4;12;14;11;4;12;14;12;4;12;14;13;4;12;14;14;4;12;14;ran;1;11;15
78;13;10;9;ch;5;9;0;1;4;9;1;1;4;9;2;1;4;9;3;1;4;9;4;1;4;9;5;1;4;9;6;1;4;9;7;1;4;9;8;1;4;9;9;1;4;9;10;1;4;9;11;1;4;9;12;3;4;9;13;3;4;9;14;3;4;9;ran;2;5;9
80;36;8;20;ch;20;20;0;0;20;20;1;1;20;20;2;1;20;20;3;1;20;20;4;1;20;20;5;1;20;20;6;1;20;20;7;1;20;20;8;1;20;20;9;1;20;20;10;1;20;20;11;1;20;20;12;1;20;20;13;1;20;20;14;1;20;20;ran;1;20;20
82;19;15;14;ch;12;13;0;2;12;13;1;3;12;14;2;3;12;14;3;3;12;14;4;3;12;14;5;3;12;14;6;3;12;14;7;3;12;14;8;3;12;14;9;3;12;14;10;3;12;14;11;3;12;14;12;3;12;14;13;3;12;14;14;3;12;14;ran;1;12;13
83;33;9;21;ch;21;22;0;2;19;21;1;0;21;22;2;0;21;22;3;0;21;22;4;0;21;22;5;0;21;22;6;0;21;22;7;0;21;22;8;0;21;22;9;0;21;22;10;0;21;22;11;0;21;22;12;0;21;22;13;0;21;22;14;0;21;22;ran;2;19;21
84;32;12;20;ch;18;22;0;1;19;21;1;1;19;21;2;3;18;22;3;3;18;22;4;3;18;22;5;3;18;22;6;3;18;22;7;1;19;21;8;1;19;21;9;1;19;21;10;1;19;21;11;1;19;21;12;1;19;21;13;1;19;21;14;1;19;21;ran;0;18;22
85;27;12;16;ch;15;18;0;3;15;16;1;1;15;17;2;1;15;17;3;1;15;17;4;3;15;16;5;3;15;16;6;3;15;16;7;3;15;16;8;3;15;16;9;3;15;16;10;3;15;16;11;3;15;16;12;3;15;16;13;3;15;16;14;4;15;17;ran;2;15;18
86;22;9;10;ch;10;11;0;1;10;10;1;1;10;10;2;1;10;10;3;1;10;10;4;1;10;10;5;1;10;10;6;1;10;10;7;4;10;10;8;4;10;10;9;4;10;10;10;4;10;10;11;4;10;10;12;4;10;10;13;4;10;10;14;4;10;10;ran;2;10;11
87;31;13;20;ch;18;19;0;0;18;19;1;1;16;19;2;1;16;19;3;1;16;19;4;1;16;19;5;1;16;19;6;1;16;19;7;1;16;19;8;1;16;19;9;1;16;19;10;1;16;19;11;0;18;19;12;0;18;19;13;0;18;19;14;0;18;19;ran;1;16;19
88;37;16;22;ch;18;22;0;0;18;22;1;0;18;22;2;0;18;22;3;0;18;22;4;1;18;22;5;1;18;22;6;1;18;22;7;1;18;22;8;3;19;23;9;3;19;23;10;0;18;22;11;0;18;22;12;0;18;22;13;0;18;22;14;0;18;22;ran;4;20;23
89;36;10;23;ch;18;21;0;3;18;21;1;3;18;21;2;3;18;21;3;3;18;21;4;3;18;21;5;3;18;21;6;3;18;21;7;3;18;21;8;3;18;21;9;3;18;21;10;3;18;21;11;3;18;21;12;3;18;21;13;3;18;21;14;3;18;21;ran;3;18;21
90;23;13;16;ch;16;16;0;2;14;15;1;2;14;15;2;2;14;15;3;2;14;15;4;2;14;15;5;2;14;15;6;2;14;15;7;2;14;15;8;2;14;15;9;2;14;15;10;2;14;15;11;2;14;15;12;2;14;15;13;2;14;15;14;2;14;15;ran;3;14;15
92;31;16;22;ch;18;26;0;3;18;25;1;3;18;25;2;3;18;25;3;4;19;25;4;3;18;25;5;3;18;25;6;3;18;25;7;3;18;25;8;3;18;25;9;3;18;25;10;3;18;25;11;3;18;25;12;3;18;25;13;3;18;25;14;3;18;25;ran;2;19;25
93;23;9;14;ch;12;13;0;3;13;13;1;3;13;13;2;3;13;13;3;3;13;13;4;3;13;13;5;3;13;13;6;2;13;13;7;2;13;13;8;2;13;13;9;2;13;13;10;2;13;13;11;2;13;13;12;2;13;13;13;2;13;13;14;2;13;13;ran;0;12;13
