TRAIN_CORPUS=./input/wsj-02-21clean.mrg
TEST_CORPUS=./input/wsj-22clean.mrg
nBestCharniakParsesFile=./input/WSJ22Charniak_best10_noAux.txt
nBest=5
0 sentences were reranked out of 0

PROBABILITY_MODEL=topdown_with_path
INCLUDE_DISCONTIGUITIES=true
INCLUDE_DISCONTIGUITIES_ALTERNATIVE=false
LAMBDA_1=0.1; LAMBDA_2=0.2; LAMBDA_3=0.1
BACK_OFF_FACTOR=4.0
MAX_SENTENCE_SIZE_FOR_TESTSENTENCES=40
SMOOTH_FOR_UNKNOWN_WORDS=true
DO_LEMMATIZATION=true
CONVERT_INITIAL_WORD2LOWERCASE=false
WORD_FREQUENCY_THRESHOLD_FOR_SMOOTHING=4
MINIMUM_NUMBER_UNIQUE_WORDS_PER_UNKNOWN_CLASS=3
SMOOTH_FOR_UNKNOWN_PRODUCTIONS=true
DO_HORIZONTAL_MARKOVIZATION=true

Test sent.;length;depth;#cstit;ch;#mcst;#cst;h1;#cand;#mcst;#cst;h2;#cand;#mcst;#cst;h3;#cand;#mcst;#cst;h4;#cand;#mcst;#cst;h5;#cand;#mcst;#cst;h6;#cand;#mcst;#cst;h7;#cand;#mcst;#cst;h8;#cand;#mcst;#cst;h9;#cand;#mcst;#cst;h10;#cand;#mcst;#cst;h11;#cand;#mcst;#cst;h12;#cand;#mcst;#cst;h13;#cand;#mcst;#cst;h14;#cand;#mcst;#cst;ran;#cand;#mcst;#cst
35;32;13;22;ch;18;23;1;2;18;23;2;2;18;23;3;2;18;23;4;3;19;22;5;3;19;22;6;3;19;22;7;3;19;22;8;3;19;22;9;3;19;22;10;3;19;22;11;3;19;22;12;3;19;22;13;3;19;22;14;3;19;22;ran;1;19;22
36;21;13;14;ch;14;14;1;3;14;15;2;3;14;15;3;3;14;15;4;0;14;14;5;0;14;14;6;0;14;14;7;0;14;14;8;0;14;14;9;0;14;14;10;0;14;14;11;0;14;14;12;0;14;14;13;0;14;14;14;0;14;14;ran;1;14;14
37;9;7;6;ch;6;6;1;0;6;6;2;0;6;6;3;0;6;6;4;0;6;6;5;0;6;6;6;0;6;6;7;0;6;6;8;0;6;6;9;0;6;6;10;0;6;6;11;0;6;6;12;0;6;6;13;0;6;6;14;0;6;6;ran;4;6;7
38;12;12;8;ch;5;8;1;4;8;8;2;4;8;8;3;0;5;8;4;0;5;8;5;0;5;8;6;0;5;8;7;0;5;8;8;0;5;8;9;0;5;8;10;0;5;8;11;0;5;8;12;0;5;8;13;0;5;8;14;0;5;8;ran;0;5;8
39;11;10;7;ch;5;6;1;4;7;7;2;4;7;7;3;4;7;7;4;4;7;7;5;4;7;7;6;4;7;7;7;4;7;7;8;2;6;7;9;1;7;7;10;1;7;7;11;4;7;7;12;4;7;7;13;4;7;7;14;4;7;7;ran;1;7;7
40;24;12;16;ch;14;16;1;0;14;16;2;0;14;16;3;0;14;16;4;0;14;16;5;0;14;16;6;0;14;16;7;0;14;16;8;0;14;16;9;0;14;16;10;0;14;16;11;0;14;16;12;0;14;16;13;0;14;16;14;0;14;16;ran;3;12;17
41;40;21;26;ch;22;25;1;2;22;25;2;2;22;25;3;2;22;25;4;2;22;25;5;2;22;25;6;2;22;25;7;2;22;25;8;2;22;25;9;2;22;25;10;2;22;25;11;2;22;25;12;2;22;25;13;2;22;25;14;2;22;25;ran;4;22;25
42;13;9;6;ch;6;6;1;1;6;6;2;1;6;6;3;1;6;6;4;1;6;6;5;1;6;6;6;1;6;6;7;1;6;6;8;0;6;6;9;0;6;6;10;0;6;6;11;0;6;6;12;0;6;6;13;0;6;6;14;0;6;6;ran;0;6;6
43;14;9;8;ch;5;8;1;1;5;9;2;1;5;9;3;1;5;9;4;1;5;9;5;1;5;9;6;1;5;9;7;2;4;9;8;2;4;9;9;2;4;9;10;1;5;9;11;1;5;9;12;1;5;9;13;1;5;9;14;1;5;9;ran;1;5;9
44;40;14;24;ch;22;24;1;3;21;24;2;1;22;24;3;1;22;24;4;1;22;24;5;1;22;24;6;1;22;24;7;1;22;24;8;1;22;24;9;1;22;24;10;1;22;24;11;1;22;24;12;1;22;24;13;1;22;24;14;1;22;24;ran;3;21;24
45;20;13;14;ch;14;14;1;2;14;14;2;2;14;14;3;2;14;14;4;0;14;14;5;0;14;14;6;0;14;14;7;0;14;14;8;0;14;14;9;0;14;14;10;0;14;14;11;0;14;14;12;0;14;14;13;0;14;14;14;0;14;14;ran;2;14;14
46;32;9;16;ch;14;19;1;3;14;16;2;3;14;16;3;2;14;18;4;2;14;18;5;2;14;18;6;2;14;18;7;2;14;18;8;2;14;18;9;2;14;18;10;2;14;18;11;2;14;18;12;2;14;18;13;2;14;18;14;2;14;18;ran;2;14;18
47;29;14;18;ch;18;18;1;2;17;18;2;2;17;18;3;2;17;18;4;2;17;18;5;2;17;18;6;2;17;18;7;2;17;18;8;2;17;18;9;2;17;18;10;2;17;18;11;2;17;18;12;2;17;18;13;2;17;18;14;2;17;18;ran;1;18;19
48;19;17;14;ch;14;14;1;1;13;13;2;1;13;13;3;1;13;13;4;0;14;14;5;0;14;14;6;0;14;14;7;0;14;14;8;0;14;14;9;0;14;14;10;0;14;14;11;0;14;14;12;3;13;13;13;3;13;13;14;3;13;13;ran;1;13;13
49;13;10;9;ch;9;9;1;2;9;10;2;2;9;10;3;2;9;10;4;2;9;10;5;2;9;10;6;0;9;9;7;0;9;9;8;0;9;9;9;0;9;9;10;0;9;9;11;0;9;9;12;0;9;9;13;0;9;9;14;0;9;9;ran;0;9;9
50;11;8;7;ch;6;6;1;0;6;6;2;0;6;6;3;0;6;6;4;0;6;6;5;0;6;6;6;0;6;6;7;0;6;6;8;0;6;6;9;0;6;6;10;0;6;6;11;0;6;6;12;0;6;6;13;0;6;6;14;0;6;6;ran;4;6;6
51;21;12;14;ch;14;15;1;3;14;15;2;3;14;15;3;3;14;15;4;3;14;15;5;3;14;15;6;3;14;15;7;3;14;15;8;3;14;15;9;3;14;15;10;3;14;15;11;3;14;15;12;3;14;15;13;3;14;15;14;3;14;15;ran;0;14;15
53;18;8;8;ch;7;8;1;4;7;8;2;0;7;8;3;0;7;8;4;0;7;8;5;2;7;8;6;2;7;8;7;3;8;8;8;3;8;8;9;3;8;8;10;3;8;8;11;3;8;8;12;3;8;8;13;3;8;8;14;3;8;8;ran;3;8;8
54;11;8;5;ch;5;5;1;0;5;5;2;0;5;5;3;0;5;5;4;0;5;5;5;0;5;5;6;0;5;5;7;0;5;5;8;0;5;5;9;0;5;5;10;0;5;5;11;0;5;5;12;0;5;5;13;0;5;5;14;0;5;5;ran;2;4;5
55;23;10;14;ch;9;13;1;3;7;13;2;4;9;13;3;4;9;13;4;4;9;13;5;4;9;13;6;4;9;13;7;4;9;13;8;4;9;13;9;4;9;13;10;4;9;13;11;4;9;13;12;4;9;13;13;4;9;13;14;4;9;13;ran;0;9;13
56;23;9;14;ch;10;14;1;2;10;14;2;2;10;14;3;2;10;14;4;2;10;14;5;2;10;14;6;2;10;14;7;2;10;14;8;2;10;14;9;2;10;14;10;2;10;14;11;3;11;13;12;3;11;13;13;3;11;13;14;3;11;13;ran;4;10;14
57;33;20;22;ch;19;24;1;1;19;24;2;1;19;24;3;1;19;24;4;1;19;24;5;1;19;24;6;1;19;24;7;1;19;24;8;1;19;24;9;1;19;24;10;1;19;24;11;1;19;24;12;1;19;24;13;1;19;24;14;1;19;24;ran;0;19;24
58;28;14;16;ch;12;15;1;3;12;15;2;3;12;15;3;3;12;15;4;3;12;15;5;3;12;15;6;2;11;15;7;2;11;15;8;2;11;15;9;2;11;15;10;2;11;15;11;2;11;15;12;2;11;15;13;2;11;15;14;2;11;15;ran;4;11;15
59;22;9;14;ch;13;15;1;0;13;15;2;4;13;16;3;4;13;16;4;0;13;15;5;0;13;15;6;0;13;15;7;0;13;15;8;0;13;15;9;0;13;15;10;0;13;15;11;0;13;15;12;0;13;15;13;0;13;15;14;0;13;15;ran;0;13;15
60;14;12;9;ch;8;10;1;1;8;9;2;1;8;9;3;1;8;9;4;1;8;9;5;1;8;9;6;1;8;9;7;1;8;9;8;1;8;9;9;1;8;9;10;1;8;9;11;1;8;9;12;1;8;9;13;1;8;9;14;1;8;9;ran;1;8;9
61;27;11;17;ch;17;17;1;0;17;17;2;0;17;17;3;0;17;17;4;0;17;17;5;0;17;17;6;0;17;17;7;0;17;17;8;1;17;17;9;1;17;17;10;1;17;17;11;1;17;17;12;1;17;17;13;1;17;17;14;1;17;17;ran;1;17;17
62;24;12;16;ch;13;16;1;2;14;17;2;2;14;17;3;2;14;17;4;2;14;17;5;2;14;17;6;2;14;17;7;2;14;17;8;2;14;17;9;3;16;16;10;3;16;16;11;3;16;16;12;3;16;16;13;3;16;16;14;3;16;16;ran;0;13;16
63;15;10;11;ch;8;11;1;1;8;11;2;2;9;12;3;2;9;12;4;2;9;12;5;2;9;12;6;2;9;12;7;2;9;12;8;2;9;12;9;2;9;12;10;2;9;12;11;2;9;12;12;2;9;12;13;2;9;12;14;2;9;12;ran;3;8;11
64;24;11;15;ch;12;14;1;2;14;15;2;2;14;15;3;2;14;15;4;2;14;15;5;2;14;15;6;2;14;15;7;2;14;15;8;2;14;15;9;2;14;15;10;2;14;15;11;2;14;15;12;2;14;15;13;2;14;15;14;2;14;15;ran;2;14;15
65;17;14;13;ch;12;14;1;1;12;13;2;0;12;14;3;0;12;14;4;0;12;14;5;0;12;14;6;1;12;13;7;1;12;13;8;1;12;13;9;1;12;13;10;1;12;13;11;1;12;13;12;1;12;13;13;3;11;14;14;3;11;14;ran;4;12;13
66;4;3;1;ch;1;1;1;1;1;1;2;1;1;1;3;1;1;1;4;1;1;1;5;1;1;1;6;1;1;1;7;1;1;1;8;1;1;1;9;1;1;1;10;1;1;1;11;1;1;1;12;1;1;1;13;1;1;1;14;1;1;1;ran;3;1;2
67;3;3;1;ch;1;1;1;1;1;1;2;0;1;1;3;0;1;1;4;0;1;1;5;0;1;1;6;0;1;1;7;0;1;1;8;0;1;1;9;0;1;1;10;0;1;1;11;0;1;1;12;0;1;1;13;0;1;1;14;0;1;1;ran;0;1;1
68;31;12;19;ch;19;21;1;4;16;20;2;4;16;20;3;4;16;20;4;0;19;21;5;0;19;21;6;0;19;21;7;0;19;21;8;0;19;21;9;0;19;21;10;4;16;20;11;4;16;20;12;4;16;20;13;4;16;20;14;1;18;20;ran;1;18;20
69;5;5;2;ch;2;2;1;0;2;2;2;0;2;2;3;0;2;2;4;0;2;2;5;0;2;2;6;0;2;2;7;0;2;2;8;0;2;2;9;0;2;2;10;0;2;2;11;0;2;2;12;0;2;2;13;0;2;2;14;0;2;2;ran;3;2;3
70;20;9;12;ch;12;12;1;3;11;11;2;3;11;11;3;3;11;11;4;4;12;13;5;4;12;13;6;4;12;13;7;4;12;13;8;4;12;13;9;2;12;13;10;2;12;13;11;2;12;13;12;2;12;13;13;2;12;13;14;2;12;13;ran;3;11;11
71;18;8;10;ch;10;12;1;2;10;12;2;2;10;12;3;2;10;12;4;2;10;12;5;2;10;12;6;2;10;12;7;2;10;12;8;2;10;12;9;2;10;12;10;2;10;12;11;2;10;12;12;2;10;12;13;2;10;12;14;2;10;12;ran;2;10;12
72;31;11;16;ch;16;16;1;2;15;15;2;2;15;15;3;4;15;16;4;4;15;16;5;4;15;16;6;4;15;16;7;2;15;15;8;0;16;16;9;0;16;16;10;0;16;16;11;2;15;15;12;2;15;15;13;2;15;15;14;2;15;15;ran;0;16;16
73;12;8;7;ch;7;9;1;0;7;9;2;0;7;9;3;0;7;9;4;0;7;9;5;0;7;9;6;0;7;9;7;0;7;9;8;0;7;9;9;0;7;9;10;0;7;9;11;0;7;9;12;0;7;9;13;0;7;9;14;0;7;9;ran;4;7;9
74;3;3;1;ch;1;1;1;1;1;1;2;1;1;1;3;1;1;1;4;1;1;1;5;1;1;1;6;1;1;1;7;1;1;1;8;1;1;1;9;1;1;1;10;1;1;1;11;1;1;1;12;1;1;1;13;1;1;1;14;1;1;1;ran;1;1;1
75;31;14;17;ch;17;17;1;0;17;17;2;0;17;17;3;0;17;17;4;0;17;17;5;0;17;17;6;0;17;17;7;2;16;18;8;2;16;18;9;2;16;18;10;0;17;17;11;0;17;17;12;0;17;17;13;0;17;17;14;0;17;17;ran;4;15;17
76;27;8;16;ch;14;15;1;1;15;16;2;1;15;16;3;1;15;16;4;1;15;16;5;1;15;16;6;1;15;16;7;1;15;16;8;1;15;16;9;1;15;16;10;1;15;16;11;1;15;16;12;1;15;16;13;1;15;16;14;1;15;16;ran;0;14;15
77;19;10;15;ch;15;15;1;1;11;15;2;1;11;15;3;1;11;15;4;1;11;15;5;1;11;15;6;1;11;15;7;4;12;14;8;4;12;14;9;1;11;15;10;0;15;15;11;0;15;15;12;0;15;15;13;0;15;15;14;0;15;15;ran;0;15;15
78;13;10;9;ch;5;9;1;0;5;9;2;0;5;9;3;2;5;9;4;2;5;9;5;0;5;9;6;0;5;9;7;0;5;9;8;0;5;9;9;0;5;9;10;0;5;9;11;0;5;9;12;0;5;9;13;0;5;9;14;0;5;9;ran;3;4;9
80;36;8;20;ch;20;20;1;0;20;20;2;0;20;20;3;0;20;20;4;0;20;20;5;0;20;20;6;0;20;20;7;0;20;20;8;0;20;20;9;0;20;20;10;0;20;20;11;0;20;20;12;0;20;20;13;0;20;20;14;0;20;20;ran;0;20;20
82;19;15;14;ch;12;13;1;3;12;14;2;3;12;14;3;3;12;14;4;3;12;14;5;3;12;14;6;3;12;14;7;3;12;14;8;3;12;14;9;3;12;14;10;3;12;14;11;3;12;14;12;3;12;14;13;3;12;14;14;3;12;14;ran;4;12;13
83;33;9;21;ch;21;22;1;0;21;22;2;0;21;22;3;0;21;22;4;0;21;22;5;0;21;22;6;0;21;22;7;0;21;22;8;0;21;22;9;0;21;22;10;0;21;22;11;0;21;22;12;4;20;23;13;4;20;23;14;4;20;23;ran;2;19;21
84;32;12;20;ch;18;22;1;1;19;21;2;3;18;22;3;3;18;22;4;3;18;22;5;3;18;22;6;3;18;22;7;0;18;22;8;0;18;22;9;0;18;22;10;1;19;21;11;1;19;21;12;1;19;21;13;1;19;21;14;1;19;21;ran;3;18;22
85;27;12;16;ch;15;18;1;3;15;16;2;1;15;17;3;1;15;17;4;1;15;17;5;1;15;17;6;1;15;17;7;1;15;17;8;1;15;17;9;1;15;17;10;1;15;17;11;1;15;17;12;1;15;17;13;1;15;17;14;1;15;17;ran;2;15;18
86;22;9;10;ch;10;11;1;3;10;11;2;3;10;11;3;3;10;11;4;3;10;11;5;1;10;10;6;1;10;10;7;3;10;11;8;3;10;11;9;3;10;11;10;3;10;11;11;3;10;11;12;3;10;11;13;3;10;11;14;3;10;11;ran;2;10;11
87;31;13;20;ch;18;19;1;3;18;20;2;0;18;19;3;0;18;19;4;2;17;19;5;2;17;19;6;2;17;19;7;2;17;19;8;2;17;19;9;2;17;19;10;2;17;19;11;2;17;19;12;2;17;19;13;2;17;19;14;2;17;19;ran;3;18;20
