freq;,length;occ;cxs
4;9;150,191,349,445;(TOP>PUNC^1 (TOP>S@[P4] (S@[P3] (S>S:COMP@[P2] (S>VBP:HD )(S:COMP@[A1] (S:COMP>VP:COMP@[P0] (S:COMP>MD:HD )(VP:COMP )) ) ) ) ) (PUNC@[A7] (.*TOP>PUNC^1@[P6] (TOP>PUNC*@[S5] ) ) ) )
4;5;87,291,686,871;(TOP>PUNC^1 (TOP>VP@[P0] (TOP>UH )(VP )) (PUNC@[A3] (.*TOP>PUNC^1@[P2] (TOP>PUNC*@[S1] ) ) ) )
4;7;122,328,539,893;(TOP>PUNC^1 (TOP>UH@[P2] (TOP>UH )(UH@[A1] (yeah@[P0] (TOP>UH^1 )) ) ) (PUNC@[A5] (.*TOP>PUNC^1@[P4] (TOP>PUNC*@[S3] ) ) ) )
3;4;157,162,181;(TOP>PUNC (TOP>CNJ )(PUNC@[A2] (.*TOP>PUNC^1@[P1] (TOP>PUNC*@[S0] ) ) ) )
3;24;265,687,838;(TOP>PUNC^1 (TOP>NP@[P19] (NP@[P18] (NP>PP:ADJ@[P17] (NP>CNUM:HD )(PP:ADJ@[A16] (PP:ADJ>NP:COMP^1@[P15] (PP:ADJ>IN:HD@[P3] (IN:HD@[P2] (in*NP>PP:ADJ^1@[P1] (NP>PP:ADJ*@[S0] ) ) ) ) (NP:COMP@[A14] (NP:COMP>NN:HD^1@[P13] (NP:COMP>DTP:SPR@[P9] (DTP:SPR@[P8] (DT@[P7] (DT@[P6] (the*PP:ADJ>NP:COMP^1@[P5] (PP:ADJ>NP:COMP*@[S4] ) ) ) ) ) ) (NN:HD@[A12] (morning*NP:COMP>NN:HD^1@[P11] (NP:COMP>NN:HD*@[S10] ) ) ) ) ) ) ) ) ) ) (PUNC@[A22] (.*TOP>PUNC^1@[P21] (TOP>PUNC*@[S20] ) ) ) )
3;7;46,230,798;(TOP>PUNC^1 (TOP>S@[P2] (S@[P1] (S>NP:COMP@[P0] (S>VBZ:HD )(NP:COMP )) ) ) (PUNC@[A5] (.*TOP>PUNC^1@[P4] (TOP>PUNC*@[S3] ) ) ) )
3;10;257,615,764;(TOP>PUNC^1 (TOP>S@[P5] (S@[P4] (S>AP:COMP@[P3] (S>VBZ:HD )(AP:COMP@[A2] (JJ:HD@[P1] (fine@[P0] (S>AP:COMP^1 )) ) ) ) ) ) (PUNC@[A8] (.*TOP>PUNC^1@[P7] (TOP>PUNC*@[S6] ) ) ) )
3;8;237,625,796;(TOP>PUNC^1 (TOP>S@[P3] (S@[P2] (S>VP:COMP@[P1] (S>MD:HD )(VP:COMP@[A0] (VP:COMP>NP:ADJ ) ) ) ) ) (PUNC@[A6] (.*TOP>PUNC^1@[P5] (TOP>PUNC*@[S4] ) ) ) )
3;8;9,401,746;(TOP>PUNC^1 (TOP>S@[P3] (TOP>UH )(S@[A2] (S>VP:COMP@[P1] (S>MD:HD )(VP:COMP@[A0] (VP:COMP>AP:COMP ) ) ) ) ) (PUNC@[A6] (.*TOP>PUNC^1@[P5] (TOP>PUNC*@[S4] ) ) ) )
3;8;549,572,924;(TOP>PUNC^1 (TOP>UH@[P3] (TOP>UH )(UH@[A2] (yeah*TOP>UH^1@[P1] (TOP>UH*@[S0] ) ) ) ) (PUNC@[A6] (.*TOP>PUNC^1@[P5] (TOP>PUNC*@[S4] ) ) ) )
3;7;24,77,107;(TOP>PUNC^1 (TOP>NP@[P2] (NP@[P1] (NP>NP@[P0] (NP>,:PAR )(NP )) ) ) (PUNC@[A5] (.*TOP>PUNC^1@[P4] (TOP>PUNC*@[S3] ) ) ) )
3;9;73,468,720;(TOP>PUNC^1 (TOP>S@[P4] (S@[P3] (S>VP:COMP@[P2] (S>MD:HD )(VP:COMP@[A1] (VP:COMP>PP:ADJ@[P0] (VP:COMP>NP:COMP )(PP:ADJ )) ) ) ) ) (PUNC@[A7] (.*TOP>PUNC^1@[P6] (TOP>PUNC*@[S5] ) ) ) )
3;5;99,627,629;(TOP>PUNC^1 (TOP>VP@[P0] (VP )) (PUNC@[A3] (.*TOP>PUNC^1@[P2] (TOP>PUNC*@[S1] ) ) ) )
3;7;41,340,533;(TOP>PUNC^1 (TOP>UH@[P2] (TOP>UH )(UH@[A1] (okay@[P0] (TOP>UH^1 )) ) ) (PUNC@[A5] (.*TOP>PUNC^1@[P4] (TOP>PUNC*@[S3] ) ) ) )
